COMMON	In the back of the Scumm Bar is...	The cellar	*The kitchen	A giant whale	A fishing trophy
COMMON	Morgan LeFlay first appeared in:	LeChuck's Revenge	Escape from Monkey Island	*Tales of Monkey Island	Secret of Monkey Island
COMMON	Who is the local expert on LOOM?	Apple Bob	The Lookout	*Cobb	Wally
COMMON	Which of these ingredients is not needed to get to Monkey Island?	Skull	*Yeast	Monkey blood	Cinnamon
COMMON	Wally's shop is on:	High Street	*Low Street	A Street	A police watch list
COMMON	The official name of the Voodoo Shop is...	*The International House of Mojo	The Voodoo Shop	Voodoo-N-More	The International House of Voodoo
COMMON	Which of these is not an island in Monkey Island 2?	Scabb Island	Booty Island	Dinky Island	*Reef Island
COMMON	The game of Monkey Island used to be called...	Voyage to Monkey Island	*Mutiny on Monkey Island	The Pirates of Monkey Island	That Pirate Game
COMMON	Which of these people were not swallowed by a giant manatee?	Coronado de Cava	*The Marquis De Singe	Morgan LeFlay	Murray
COMMON	Captain Kate Capsize...	*Was wrongly imprisoned on trumped up charges	Was made governor of Mêlée Island	Runs a used coffin store on Phatt Island	Doesn't appear in any Monkey Island game
COMMON	Which of these ingredients is not required to make a voodoo doll?	Something of the Thread	Something of the Head	*Something of the Bread	Something of the Dead
COMMON	The Mad Monkey was...	*A sunken ship	A giant robotic monkey	The leader of the Pirates of Danjer Cove	LeChuck's pet chimp
COMMON	How many prisoners are in the Ice Quarry?	12	*21	16	None, there is no Ice Quarry
COMMON	Largo LaGrande's catchphrase was:	I'm steamin' weenies!	*Wherever you go, on sea or land, you can't ever hide, from Largo LaGrande!	Kiss the cook.	Hey, how'd old Pegbiter get loose?
COMMON	Guybrush often tries to distract people with the following:	¡Madre de Dios! ¡Es el Pollo Diablo!	I am Murray, the invincible demonic skull!	I'm selling these fine leather jackets.	*Look behind you, a three headed monkey!
COMMON	The Mêlée Island circus was run by:	The Gazpacho Guys	*The Fettucini Brothers	The Spaghetti Boys	The Men of Low Moral Fiber
COMMON	In Monkey Island 2, who had a glass bottom ship?	Stan	*Kate Capsize	Guybrush	Captain Dread
COMMON	Scurvy Island is famous for:	A scurvy outbreak	*Limes	Its nightlife	Bella's fishing spot
COMMON	What word is the curator asking for when solving the crossword puzzle?	*Pirate	Cannon	Flag	Cutlass
COMMON	The Voodoo Lady's name is:	Voodoo Lady	*Corina	Beth	She has no name
COMMON	Below the cliff on Monkey Island is:	Lava	A rubber tree	A wormhole into another game	*Pain, only pain
COMMON	Guybrush wears...	Briefs	*Boxers	Nothing	Unknown
COMMON	The original Monkey Island was first released on:	C64	*IBM PC	Amiga	Atari ST
COMMON	The development of the original Monkey Island took...	16 months	*9 months	22 months	A horrible toll on the team
COMMON	The first game to use the SCUMM system:	Monkey Island	LOOM	*Maniac Mansion	Day of the Tentacle
COMMON	Ron Gilbert started working at Lucasfilm Games in...	*1985	1989	1984	1986
COMMON	David Fox started working at Lucasfilm Games in...	*1982	1983	1984	1985
COMMON	Dave Grossman started working at Lucasfilm Games in...	*1989	1988	1990	1987
COMMON	How many pirates are in the Scumm Bar at the beginning?	*Eight	Five	Seven	Twelve
COMMON	How many dead pirates are in the abandoned camp on Terror Island?	*Three	One	Four	Two
