actor	text_id	en	filename	line	notes	flags
HOVER	10744	To the creepy forest	AbandonedPirateCamp.dinky	83
HOVER	10745	Thank goodness, a lamp!	AbandonedPirateCamp.dinky	93
HOVER	10746	A forgotten lamp	AbandonedPirateCamp.dinky	93
GUYBRUSH	31607	It's an old oil lamp, with a little lamp fuel inside.	AbandonedPirateCamp.dinky	95
HOVER	10747	Gimme!	AbandonedPirateCamp.dinky	98
HOVER	10748	Take the lamp	AbandonedPirateCamp.dinky	98
HOVER	10749	This cooking pot seems like an ill omen	AbandonedPirateCamp.dinky	106
GUYBRUSH	31608	I'm not sure I want to know what happened here.	AbandonedPirateCamp.dinky	108
GUYBRUSH	31609	I'll be fine as long as I don't lose my wits, and keep my head.	AbandonedPirateCamp.dinky	108
HOVER	10750	A grisly skeleton	AbandonedPirateCamp.dinky	114
GUYBRUSH	31610	Looks like he had the wrong person watching his back.	AbandonedPirateCamp.dinky	116
GUYBRUSH	31611	What really bothers me is, why do these pirates look familiar?	AbandonedPirateCamp.dinky	116
HOVER	10751	Another ill fated soul	AbandonedPirateCamp.dinky	122
GUYBRUSH	31612	Looks like another greedy pirate who met a sordid fate.	AbandonedPirateCamp.dinky	124
GUYBRUSH	31613	This place gives me the creeps.	AbandonedPirateCamp.dinky	124
HOVER	12174	Extra large killer ant	AbandonedPirateCamp.dinky	130
GUYBRUSH	31614	It's looking at me funny, and I don't trust it.	AbandonedPirateCamp.dinky	132
HOVER	10753	Eww!	AbandonedPirateCamp.dinky	140
GUYBRUSH	31615	Ugh, a creepy bug.	AbandonedPirateCamp.dinky	142
GUYBRUSH	31616	Stay on that lump and don't bother me.	AbandonedPirateCamp.dinky	142
HOVER	10754	It's some abandoned firewood	AbandonedPirateCamp.dinky	163
GUYBRUSH	31617	It looks really old and dry.	AbandonedPirateCamp.dinky	165
HOVER	10755	Take the firewood	AbandonedPirateCamp.dinky	168
GUYBRUSH	31618	I think I'll fill up my coat pockets with this bulky firewood. It seems like it might come in handy somewhere, and I'm sure no one will miss it.	AbandonedPirateCamp.dinky	171
ELAINE	32761	Slowpoke.	AbandonedShip.dinky	133
GUYBRUSH	32762	You had a head start!	AbandonedShip.dinky	135
ELAINE	38799	Any time you're ready, Guybrush.	AbandonedShip.dinky	147
HOVER	11647	Into the jungle	AbandonedShip.dinky	277
HOVER	11653	I can hardly believe it	AbandonedShip.dinky	334
HOVER	11654	Read the plaque	AbandonedShip.dinky	334
GUYBRUSH	32763	It says, “The▫︎Sea▫︎Monkey”!	AbandonedShip.dinky	338
GUYBRUSH	32764	Hey, this is my old ship from Monkey Island 1!	AbandonedShip.dinky	340
GUYBRUSH	32765	Wow!	AbandonedShip.dinky	341
GUYBRUSH	32766	The▫︎Sea▫︎Monkey brought me adventure and fame! I feel like this is a good omen.	AbandonedShip.dinky	342
GUYBRUSH	32767	Either that or this forgotten wreck of a ship discarded on the beach is highly symbolic.	AbandonedShip.dinky	343
GUYBRUSH	32768	“The▫︎Sea▫︎Monkey.” Wow!	AbandonedShip.dinky	348
GUYBRUSH	32769	It's a spooky skull.	AbandonedShip.dinky	359
GUYBRUSH	32770	Murray? Is that you? Sorry about flattening you.	AbandonedShip.dinky	362
GUYBRUSH	32771	Oh. It's just a spooky skull.	AbandonedShip.dinky	366
GUYBRUSH	32772	I'll keep this for Halloween.	AbandonedShip.dinky	367
HOVER	11655	Pick up the skull	AbandonedShip.dinky	371
HOVER	11656	Conk the skull	AbandonedShip.dinky	377
HOVER	11657	Contemplate the task at hand	AbandonedShip.dinky	389
HOVER	11658	Remember the Sea Monkey	AbandonedShip.dinky	389
HOVER	11659	Inspect the wreckage	AbandonedShip.dinky	389
GUYBRUSH	32773	People repair ships all the time. How hard could it be?	AbandonedShip.dinky	393
GUYBRUSH	32774	I have no idea how to fix this.	AbandonedShip.dinky	395
GUYBRUSH	32775	I'd love to get the old girl running again. It'd be a great summer project.	AbandonedShip.dinky	399
GUYBRUSH	32776	This really puts the “wreck” in “shipwreck.”	AbandonedShip.dinky	401
GUYBRUSH	32777	My sympathies to the unlucky captain.	AbandonedShip.dinky	401
HOVER	11660	Fierce jagged rock	AbandonedShip.dinky	409
GUYBRUSH	32778	The age old battle of rock versus hull only ever ends one way.	AbandonedShip.dinky	411
HOVER	11661	Shoreline rocks	AbandonedShip.dinky	421
GUYBRUSH	32779	The rocks around here are treacherous. I'll have to be careful not to stub my toe.	AbandonedShip.dinky	423
HOVER	11663	Talk to Elaine	AbandonedShip.dinky	521
TEXT	20299	Test achievement	AchievementHelpers.dinky	5
TEXT	20726	Test	AchievementHelpers.dinky	6
TEXT	20602	Started The Game Five Times	AchievementHelpers.dinky	8		DELETE
TEXT	20727	Beginner Player	AchievementHelpers.dinky	8		DELETE
TEXT	20603	Started The Game One Hundred Times	AchievementHelpers.dinky	9		DELETE
TEXT	20728	Master Player	AchievementHelpers.dinky	9		DELETE
TEXT	20604	Started The Game Five Hundred Times	AchievementHelpers.dinky	10		DELETE
TEXT	20729	Mega Player	AchievementHelpers.dinky	10		DELETE
TEXT	20605	Started Part One	AchievementHelpers.dinky	12
TEXT	20730	Part One	AchievementHelpers.dinky	12
TEXT	20606	Started Part Two	AchievementHelpers.dinky	13
TEXT	20731	Part Two	AchievementHelpers.dinky	13
TEXT	20607	Started Part Three	AchievementHelpers.dinky	14
TEXT	20732	Part Three	AchievementHelpers.dinky	14
TEXT	20608	Started Part Four	AchievementHelpers.dinky	15
TEXT	20733	Part Four	AchievementHelpers.dinky	15
TEXT	20609	Started Part Five	AchievementHelpers.dinky	16
TEXT	20734	Part Five	AchievementHelpers.dinky	16
TEXT	20610	Answered Five Trivia Questions Correctly	AchievementHelpers.dinky	18		DELETE
TEXT	20735	Trivia Starter	AchievementHelpers.dinky	18		DELETE
TEXT	20611	Answered Ten Trivia Questions Correctly	AchievementHelpers.dinky	19
TEXT	20736	Trivia Go Getter	AchievementHelpers.dinky	19
TEXT	20612	Answered Twenty-Five Trivia Questions Correctly	AchievementHelpers.dinky	20
TEXT	20737	Trivia Master	AchievementHelpers.dinky	20
TEXT	20613	Answered Fifty Trivia Questions Correctly	AchievementHelpers.dinky	21
TEXT	20738	Trivia Grand Master	AchievementHelpers.dinky	21
TEXT	20614	Answered Seventy-Five Trivia Questions Correctly	AchievementHelpers.dinky	22
TEXT	20739	Trivia Lord	AchievementHelpers.dinky	22
TEXT	20615	Answered One Hundred Trivia Questions Correctly	AchievementHelpers.dinky	23
TEXT	20740	Trivia Overlord	AchievementHelpers.dinky	23
TEXT	20616	Collected More Than Twenty Trivia Cards	AchievementHelpers.dinky	25
TEXT	20741	Card Collector	AchievementHelpers.dinky	25
TEXT	20617	Finished The Game Without Hints	AchievementHelpers.dinky	26		DELETE
TEXT	20742	Classic Gamer	AchievementHelpers.dinky	26		DELETE
TEXT	20618	Returned To The World You Know	AchievementHelpers.dinky	27
TEXT	20743	I Don’t Believe	AchievementHelpers.dinky	27
TEXT	20619	Died For Real	AchievementHelpers.dinky	28
TEXT	20744	Dead Dead Dead	AchievementHelpers.dinky	28
TEXT	20620	Fulfilled Your Restroom Obligations	AchievementHelpers.dinky	30
TEXT	20745	Pegleg	AchievementHelpers.dinky	30
TEXT	20621	Shared Your Luck	AchievementHelpers.dinky	31
TEXT	20746	Lucky Duck	AchievementHelpers.dinky	31
TEXT	20622	Attempted To Steal The Cook’s Mop	AchievementHelpers.dinky	33
TEXT	20747	Mop Heist	AchievementHelpers.dinky	33
TEXT	20623	Told Everyone On Mêlée Island That You Are Looking For The Secret	AchievementHelpers.dinky	34
TEXT	20748	Bragging	AchievementHelpers.dinky	34
TEXT	20624	Thoroughly Examined All Of Wally’s Stock	AchievementHelpers.dinky	35
