actor	text_id	fr	filename	line	notes	flags
HOVER	10744	Do przerażającego lasu	AbandonedPirateCamp.dinky	83
HOVER	10745	Dzięki Bogu, lampa!	AbandonedPirateCamp.dinky	93
HOVER	10746	Zapomniana lampa	AbandonedPirateCamp.dinky	93
GUYBRUSH	31607	To stara lampa naftowa, z odrobiną paliwa do lamp w środku.	AbandonedPirateCamp.dinky	95
HOVER	10747	Potrzebuję tego!	AbandonedPirateCamp.dinky	98
HOVER	10748	Weź lampę	AbandonedPirateCamp.dinky	98
HOVER	10749	Ten garnek wydaje się złym omenem	AbandonedPirateCamp.dinky	106
GUYBRUSH	31608	Nie jestem pewien, czy chcę wiedzieć, co się tu stało.	AbandonedPirateCamp.dinky	108
GUYBRUSH	31609	Będzie dobrze, o ile nie stracę rozumu i zachowam głowę.	AbandonedPirateCamp.dinky	108
HOVER	10750	Ponury szkielet	AbandonedPirateCamp.dinky	114
GUYBRUSH	31610	Wygląda na to, że miał niewłaściwą osobę pilnującą jego pleców.	AbandonedPirateCamp.dinky	116
GUYBRUSH	31611	To, co naprawdę mnie niepokoi, to dlaczego ci piraci wyglądają znajomo?	AbandonedPirateCamp.dinky	116
HOVER	10751	Kolejna nieszczęsna dusza	AbandonedPirateCamp.dinky	122
GUYBRUSH	31612	Wygląda jak kolejny chciwy pirat, którego spotkał paskudny los.	AbandonedPirateCamp.dinky	124
GUYBRUSH	31613	To miejsce przyprawia mnie o ciarki.	AbandonedPirateCamp.dinky	124
HOVER	12174	Bardzo duża zabójcza mrówka	AbandonedPirateCamp.dinky	130
GUYBRUSH	31614	Dziwnie na mnie patrzy, a ja jej nie ufam.	AbandonedPirateCamp.dinky	132
HOVER	10753	Eww!	AbandonedPirateCamp.dinky	140
GUYBRUSH	31615	Uff, straszny robal.	AbandonedPirateCamp.dinky	142
GUYBRUSH	31616	Zostań na tej bryle i nie zawracaj mi głowy.	AbandonedPirateCamp.dinky	142
HOVER	10754	To jakieś porzucone drewno na opał	AbandonedPirateCamp.dinky	163
GUYBRUSH	31617	Wygląda to naprawdę staro i sucho.	AbandonedPirateCamp.dinky	165
HOVER	10755	Weź drewno na opał	AbandonedPirateCamp.dinky	168
GUYBRUSH	31618	Chyba zapełnię kieszenie płaszcza tym nieporęcznym drewnem opałowym. Może mi się gdzieś przydać i nikt nie będzie za nim tęsknił.	AbandonedPirateCamp.dinky	171
ELAINE	32761	Ślamazara.	AbandonedShip.dinky	133
GUYBRUSH	32762	Miałaś przewagę!	AbandonedShip.dinky	135
ELAINE	38799	Kiedy tylko będziesz gotowy, Guybrush.	AbandonedShip.dinky	147
HOVER	11647	Do dżungli	AbandonedShip.dinky	277
HOVER	11653	Nie mogę w to uwierzyć.	AbandonedShip.dinky	334
HOVER	11654	Przeczytaj tabliczkę	AbandonedShip.dinky	334
GUYBRUSH	32763	Jest napisane, “Morska Małpa”!	AbandonedShip.dinky	338
GUYBRUSH	32764	Hej, to mój stary statek z Monkey Island 1!	AbandonedShip.dinky	340
GUYBRUSH	32765	Łoł!	AbandonedShip.dinky	341
